순번,ROUTE_ID,ROUTE_NM,STA_ORDER,STATION_NM,STATION_ID,MOBILE_NO
1,200000006,300,1,하북차고지,214001151,15578
2,200000006,300,2,서탄입구,214000514,15568
3,200000006,300,3,진위역,214000513,15565
4,200000006,300,4,하북4리.사리고가,214000512,15566
5,200000006,300,5,진위면롯데제과,214000511,15580
6,200000006,300,6,야막리,214000510,15585
7,200000006,300,7,원영화남아파트,223000522,24097
8,200000006,300,8,갈곶동.동부아파트,223000524,24118
9,200000006,300,9,원동초교,223000128,24115
10,200000006,300,10,오산역e-편한세상1단지아파트,223000127,24113
11,200000006,300,11,오산역.오산터미널,223000126,24107
12,200000006,300,12,중원사거리,223000125,24108
13,200000006,300,13,오색시장,223000141,24179
14,200000006,300,14,오산장터,223000123,24110
15,200000006,300,15,대우3차아파트.궐동,223000122,24095
16,200000006,300,16,궐리사.대우아파트,223000120,24086
17,200000006,300,17,대우아파트,223000119,24082
18,200000006,300,18,오산대역.물향기수목원,223000045,24064
19,200000006,300,19,우미아파트,223000118,24058
20,200000006,300,20,내삼미동입구,223000062,24054
21,200000006,300,21,죽미고개.내삼미동,223000061,24044
22,200000006,300,22,UN군초전기념관,223000434,24406
23,200000006,300,23,UN참전기념공원앞,223000428,24404
24,200000006,300,24,세마대,223000060,24025
25,200000006,300,25,외삼미동,223000426,24397
26,200000006,300,26,신창미션힐.송화초교,233000101,36350
27,200000006,300,27,동부출장소.병점초등학교,233000708,36342
28,200000006,300,28,병점입구.병점육교.화남아파트,233000707,36341
29,200000006,300,29,반정동,233002462,37702
30,200000006,300,30,대황교.활주로,233000706,36333
31,200000006,300,31,곡반정동입구,201000013,02226
32,200000006,300,32,권선동,201000012,02216
33,200000006,300,33,공군관사,201000011,02207
34,200000006,300,34,권선중학교,201000010,02210
35,200000006,300,35,수원버스터미널,201000009,02214
36,200000006,300,36,한양아파트,201000008,02217
37,200000006,300,37,세권사거리,201000007,02227
38,200000006,300,38,권선사거리.SK뷰아파트,201000006,02235
39,200000006,300,39,KT남수원지사,201000005,02238
40,200000006,300,40,수원시청사거리,202000072,03069
41,200000006,300,41,국제사이버대학교.인계사거리,202000071,03075
42,200000006,300,42,KBS수원센터.KB손해보험,202000070,03079
43,200000006,300,43,수원고용복지플러스센터.동수원사거리.삼성생명,202000069,03136
44,200000006,300,44,동부지구대.수원시장기요양지원센터.수병원,202000068,03086
45,200000006,300,45,창룡문,202000067,03072
46,200000006,300,46,교육청사거리,200000083,01174
47,200000006,300,47,영화초등학교.한국건강관리협회,200000082,01153
48,200000006,300,48,수원KT위즈파크.수원종합운동장,200000081,01134
49,200000006,300,49,한일타운.경기일보.홈플러스,200000080,01125
50,200000006,300,50,수일여중.대우건설기술연구원.경기도융합과학교육원,200000079,01225
51,200000006,300,51,수일중학교,200000078,01109
52,200000006,300,52,한국가스안전공사.택시공제조합,200000077,01102
53,200000006,300,53,삼익아파트.광교산입구,200000146,01091
54,200000006,300,54,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도여성가족재단,200000075,01074
55,200000006,300,55,지지대교차로,200000074,01220
56,200000006,300,56,지지대고개(경유),277103323,
57,200000006,300,57,골사그네,226000051,27103
58,200000006,300,58,통미마을,226000050,27088
59,200000006,300,59,의왕소방서.솔거원효아파트,226000182,27179
60,200000006,300,60,고천동주민센터,226000049,27137
61,200000006,300,61,고천.의왕시청,226000048,27136
62,200000006,300,62,오전동주민센터,226000047,27138
63,200000006,300,63,의왕지구대.글로벌도서관,226000046,27135
64,200000006,300,64,가구단지입구,226000124,27134
65,200000006,300,65,현대.대림아파트,209000026,10111
66,200000006,300,66,호계3동행정복지센터,209000025,10100
67,200000006,300,67,호계사거리.호계전통시장.윌스기념병원,209000024,10097
68,200000006,300,68,호계종합시장,209000023,10093
69,200000006,300,69,무궁화태영아파트.평촌더샵아이파크,209000022,10080
70,200000006,300,70,무궁화코오롱.건영아파트,209000021,10074
71,200000006,300,71,무궁화한양아파트.방축사거리,209000020,10065
72,200000006,300,72,목련마을,209000221,10194
73,200000006,300,73,범계사거리,209000018,10040
74,200000006,300,74,롯데백화점.범계역,209000135,10047
75,200000006,300,75,목련선경아파트,209000090,10062
76,200000006,300,76,범계중학교,209000089,10070
77,200000006,300,77,방축사거리,209000126,10064
78,200000006,300,78,호계중학교.신기사거리,209000125,10071
79,200000006,300,79,평촌어바인퍼스트2단지.무궁화태영아파트,209000124,10078
80,200000006,300,80,윌스기념병원.평촌어바인퍼스트정문,209000123,10094
81,200000006,300,81,호계사거리.호계전통시장.평촌어바인퍼스트1단지,209000122,10096
82,200000006,300,82,한성병원.호계3동행정복지센터,209000121,10098
83,200000006,300,83,호계삼거리.디오슈페리움,209000240,10210
84,200000006,300,84,한솔테크노타운,225000158,26163
85,200000006,300,85,가구단지입구,226000045,27156
86,200000006,300,86,신안아파트.글로벌도서관,226000044,27139
87,200000006,300,87,오전동주민센터,226000043,27133
88,200000006,300,88,고천.의왕시청,226000042,27140
89,200000006,300,89,의왕소방서.원효솔거아파트,226000194,27387
90,200000006,300,90,고고리마을입구,226000041,27087
91,200000006,300,91,통미마을대안사앞,226000203,27197
92,200000006,300,92,골사그네,226000040,27141
93,200000006,300,93,지지대고개(경유),277103322,
94,200000006,300,94,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도여성가족재단,200000073,01071
95,200000006,300,95,국세청삼거리.아주편한병원,200000282,01126
